,Modelo,Precisión Global,Error Global,Precisión Positiva (PP),Precisión Negativa (PN),Proporción de Falsos Positivos (PFP),Proporción de Falsos Negativos (PFN),Asertividad Positiva (AP),Asertividad Negativa (AN)
0,Mejor KNN,0.875556,0.124444,0.842975,0.913462,0.086538,0.157025,0.918919,0.833333
1,Mejor AD,0.861111,0.138889,0.908163,0.804878,0.195122,0.091837,0.847619,0.88
2,Consenso Propio,0.8611111111111112,0.1388888888888889,0.9240506329113924,0.8118811881188119,0.18811881188118812,0.0759493670886076,0.7934782608695652,0.9318181818181818
3,Bosques Aleatorios,0.8555555555555555,0.14444444444444443,0.8987341772151899,0.8217821782178217,0.1782178217821782,0.10126582278481013,0.797752808988764,0.9120879120879121
