Precisión Global,Error Global,Precisión Positiva (PP),Precisión Negativa (PN),Proporción de Falsos Positivos (PFP),Proporción de Falsos Negativos (PFN),Asertividad Positiva (AP),Asertividad Negativa (AN)
0.875556,0.124444,0.842975,0.913462,0.086538,0.157025,0.918919,0.833333
0.861111,0.138889,0.908163,0.804878,0.195122,0.091837,0.847619,0.88
0.866667,0.133333,0.957265,0.768519,0.231481,0.042735,0.817518,0.943182
0.84,0.16,0.888889,0.787037,0.212963,0.111111,0.818898,0.867347
0.888889,0.111111,0.948718,0.824074,0.175926,0.051282,0.853846,0.936842
0.861111,0.138889,0.845238,0.875,0.125,0.154762,0.855422,0.865979
0.8755555555555555,0.12444444444444444,0.8849557522123894,0.8660714285714286,0.13392857142857142,0.11504424778761062,0.8695652173913043,0.8818181818181818
